pos_weight,best_val_f1,best_thresh,test_acc,test_f1,test_precision,test_recall,test_pos_count,test_total,test_auc
0.2,0.0,0.1,0.6,0.75,0.6,1.0,57.0,95,0.6241920590951062
0.5,0.6551724137931034,0.4,0.6736842105263158,0.7633587786259542,0.6756756756756757,0.8771929824561403,57.0,95,0.6357340720221606
1.0,0.782608695652174,0.5,0.6842105263157895,0.782608695652174,0.6666666666666666,0.9473684210526315,57.0,95,0.6375807940904894
2.0,0.7549668874172185,0.1,0.6,0.75,0.6,1.0,57.0,95,0.5572483841181902
5.0,0.7549668874172185,0.1,0.6,0.75,0.6,1.0,57.0,95,0.45244690674053556
